LIST_NO|START_DATE|END_DATE|DURATION|EVENTTYPEDESCRIPTION|VIRTUALEVENTURL
73204416|2025-07-26T10:00:00|2025-07-26T14:00:00|240|In-Person|
73204416|2025-07-27T10:00:00|2025-07-27T14:00:00|240|In-Person|
73205235|2025-07-26T12:30:00|2025-07-26T14:00:00|90|In-Person|
73206121|2025-07-26T12:30:00|2025-07-26T14:00:00|90|In-Person|
73218193|2025-07-27T12:30:00|2025-07-27T13:30:00|60|In-Person|
73218216|2025-07-27T12:30:00|2025-07-27T13:30:00|60|In-Person|
73221035|2025-07-26T11:00:00|2025-07-26T13:00:00|120|In-Person|
73221035|2025-07-27T11:00:00|2025-07-27T13:00:00|120|In-Person|
73227929|2025-07-26T10:00:00|2025-07-26T12:00:00|120|In-Person|
73227929|2025-07-27T10:00:00|2025-07-27T12:00:00|120|In-Person|
73237904|2025-07-26T11:00:00|2025-07-26T12:30:00|90|In-Person|
73237904|2025-07-27T11:00:00|2025-07-27T12:30:00|90|In-Person|
73249652|2025-07-26T11:00:00|2025-07-26T12:00:00|60|In-Person|
73250444|2025-07-26T12:30:00|2025-07-26T14:00:00|90|In-Person|
73256646|2025-07-26T11:00:00|2025-07-26T13:00:00|120|In-Person|
73265660|2025-07-27T14:00:00|2025-07-27T15:00:00|60|In-Person|
73268296|2025-07-26T12:00:00|2025-07-26T14:00:00|120|In-Person|
73272867|2025-07-27T12:00:00|2025-07-27T14:00:00|120|In-Person|
73277773|2025-07-27T11:00:00|2025-07-27T15:00:00|240|In-Person|
73277773|2025-08-03T11:00:00|2025-08-03T15:00:00|240|In-Person|
73277773|2025-08-10T11:00:00|2025-08-10T15:00:00|240|In-Person|
73277773|2025-08-17T11:00:00|2025-08-17T15:00:00|240|In-Person|
73277773|2025-08-24T11:00:00|2025-08-24T15:00:00|240|In-Person|
73277773|2025-08-31T11:00:00|2025-08-31T15:00:00|240|In-Person|
73277907|2025-07-26T11:00:00|2025-07-26T13:00:00|120|In-Person|
73278488|2025-07-26T15:00:00|2025-07-26T16:00:00|60|In-Person|
73278947|2025-07-27T11:00:00|2025-07-27T15:00:00|240|In-Person|
73278947|2025-08-03T11:00:00|2025-08-03T15:00:00|240|In-Person|
73278947|2025-08-10T11:00:00|2025-08-10T15:00:00|240|In-Person|
73278947|2025-08-17T11:00:00|2025-08-17T15:00:00|240|In-Person|
73278947|2025-08-24T11:00:00|2025-08-24T15:00:00|240|In-Person|
73278947|2025-08-31T11:00:00|2025-08-31T15:00:00|240|In-Person|
73278950|2025-07-27T11:00:00|2025-07-27T15:00:00|240|In-Person|
73278950|2025-08-03T11:00:00|2025-08-03T15:00:00|240|In-Person|
73278950|2025-08-10T11:00:00|2025-08-10T15:00:00|240|In-Person|
73278950|2025-08-17T11:00:00|2025-08-17T15:00:00|240|In-Person|
73278950|2025-08-24T11:00:00|2025-08-24T15:00:00|240|In-Person|
73278950|2025-08-31T11:00:00|2025-08-31T15:00:00|240|In-Person|
73281133|2025-07-26T11:00:00|2025-07-26T13:00:00|120|In-Person|
73286530|2025-07-27T11:00:00|2025-07-27T16:00:00|300|In-Person|
73286871|2025-07-24T11:00:00|2025-07-24T15:00:00|240|In-Person|
73286871|2025-07-25T11:00:00|2025-07-25T15:00:00|240|In-Person|
73286871|2025-07-26T11:00:00|2025-07-26T15:00:00|240|In-Person|
73286871|2025-07-27T11:00:00|2025-07-27T15:00:00|240|In-Person|
73286871|2025-07-31T11:00:00|2025-07-31T15:00:00|240|In-Person|
73286871|2025-08-01T11:00:00|2025-08-01T15:00:00|240|In-Person|
73286871|2025-08-02T11:00:00|2025-08-02T15:00:00|240|In-Person|
73286871|2025-08-03T11:00:00|2025-08-03T15:00:00|240|In-Person|
73291192|2025-07-27T11:00:00|2025-07-27T12:30:00|90|In-Person|
73293388|2025-07-26T12:30:00|2025-07-26T14:30:00|120|In-Person|
73293388|2025-07-27T12:30:00|2025-07-27T14:30:00|120|In-Person|
73297265|2025-07-26T14:00:00|2025-07-26T16:00:00|120|In-Person|
73298420|2025-07-26T12:00:00|2025-07-26T13:00:00|60|In-Person|
73299631|2025-07-27T11:00:00|2025-07-27T13:00:00|120|In-Person|
73302183|2025-07-24T17:00:00|2025-07-24T18:30:00|90|In-Person|
73302183|2025-07-26T11:00:00|2025-07-26T12:30:00|90|In-Person|
73308270|2025-07-26T12:30:00|2025-07-26T14:00:00|90|In-Person|
73309737|2025-07-26T14:00:00|2025-07-26T16:00:00|120|In-Person|
73309739|2025-07-26T14:00:00|2025-07-26T16:00:00|120|In-Person|
73310692|2025-07-27T12:00:00|2025-07-27T14:00:00|120|In-Person|
73312284|2025-07-26T11:00:00|2025-07-26T14:00:00|180|In-Person|
73312284|2025-07-27T11:00:00|2025-07-27T14:00:00|180|In-Person|
73315169|2025-07-26T12:00:00|2025-07-26T13:30:00|90|In-Person|
73315735|2025-07-25T12:00:00|2025-07-25T13:30:00|90|In-Person|
73315735|2025-07-26T09:00:00|2025-07-26T10:30:00|90|In-Person|
73318587|2025-07-26T11:00:00|2025-07-26T14:00:00|180|In-Person|
73318587|2025-07-27T11:00:00|2025-07-27T14:00:00|180|In-Person|
73318587|2025-08-02T11:00:00|2025-08-02T14:00:00|180|In-Person|
73318587|2025-08-03T11:00:00|2025-08-03T14:00:00|180|In-Person|
73318587|2025-08-09T11:00:00|2025-08-09T14:00:00|180|In-Person|
73318587|2025-08-17T11:00:00|2025-08-17T14:00:00|180|In-Person|
73318587|2025-08-10T11:00:00|2025-08-10T14:00:00|180|In-Person|
73318587|2025-08-16T11:00:00|2025-08-16T14:00:00|180|In-Person|
73318587|2025-08-23T11:00:00|2025-08-23T14:00:00|180|In-Person|
73318587|2025-08-24T11:00:00|2025-08-24T14:00:00|180|In-Person|
73320200|2025-07-26T10:00:00|2025-07-26T14:00:00|240|In-Person|
73320200|2025-07-27T10:00:00|2025-07-27T14:00:00|240|In-Person|
73321104|2025-07-26T11:00:00|2025-07-26T16:00:00|300|In-Person|
73321104|2025-07-27T11:00:00|2025-07-27T16:00:00|300|In-Person|
73321905|2025-07-26T12:00:00|2025-07-26T13:00:00|60|In-Person|
73326038|2025-07-27T10:30:00|2025-07-27T12:00:00|90|In-Person|
73326042|2025-07-27T10:30:00|2025-07-27T12:00:00|90|In-Person|
73326043|2025-07-27T10:30:00|2025-07-27T12:00:00|90|In-Person|
73326045|2025-07-27T10:30:00|2025-07-27T12:00:00|90|In-Person|
73326389|2025-07-26T12:00:00|2025-07-26T13:30:00|90|In-Person|
73326789|2025-07-26T11:30:00|2025-07-26T13:30:00|120|In-Person|
73327073|2025-07-27T10:00:00|2025-07-27T11:00:00|60|In-Person|
73328201|2025-07-26T11:30:00|2025-07-26T13:00:00|90|In-Person|
73328745|2025-07-27T00:45:00|2025-07-27T01:45:00|60|In-Person|
73328911|2025-07-26T11:00:00|2025-07-26T12:30:00|90|In-Person|
73328911|2025-07-27T11:00:00|2025-07-27T12:30:00|90|In-Person|
73330377|2025-07-24T17:30:00|2025-07-24T18:30:00|60|In-Person|
73331293|2025-07-26T11:00:00|2025-07-26T14:00:00|180|In-Person|
73331293|2025-07-27T11:00:00|2025-07-27T14:00:00|180|In-Person|
