PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|NEIGHBORHOOD|COUNTY|STATE|BU_TYPE|LOT_SIZE|BLDG_SQ_FEET|PARKING_SPCS|REAL_ESTATE_INCLD
"BU"|73332155|"BB808746"|"NB4419"|"ACT"|2450|"279"|"Paris"||1||"02128"||"First floor, corner location just 2 blocks away from airport T station. Great visibility. Superb location for coffee shop, yoga studio, offices, mortgage company, hair dresser or real estate brokerage, etc. Large open concept space with high ceilings.  Close to Bremen Street Park. Come bring your ideas to life in East Boston!"|2|2/4/2025 1:03:00 PM|0|"N"||"Suffolk"|"MA"|"F"|0||0|
"BU"|73333103|"CN225652"|"BB9279"|"ACT"|149999|"999"|"confidential"||1||"02135"||"Great existing beverage business in a super location, take over business and make money from day one. Seller will provide training in this long established store with steady existing customers and solid lease terms left. Store has 1000 SF, along with access to basement for more storage and small office. For more info please reach out to agent and sign NDA first. (Photo is not actual store)"|1|2/6/2025 12:50:00 PM|0|"N"||"Suffolk"|"MA"|"C"|9999||1|"N"
"BU"|73333901|"BB980615"|"AN4907"|"ACT"|10000|"250"|"Huntington Ave"||1|"101"|"02115"||"Location, Location, Location!!! Great opportunity for a turn-key restaurant for sale at 250 Huntington Ave. Across the street to Symphony Hall; Boston Conservatory Theatre, Blackman Auditorium, Huntington Theater Company, Berklee Performance Center, Plimpton Shattuck Black box theatre, Northeastern University, Wentworth, New England school of Medicine, Berkley school of Music, Medical Center and MBTA Symphony station and many more!! Don't miss this great opportunity to start a promising business!!! The sale includes all business fixtures "" as is"" condition, no representation or warranty from seller and listing agent. Landlord will give new owner long term lease monthly is 16k (tax Included).  The restaurant has 2,765 sq ft, plus 1500 sq ft, (Storage space that includes 3 Walkin fridges, Liquor room, 2 offices, employee locker-room)."|13|2/10/2025 1:15:00 PM|0|"N"||"Suffolk"|"MA"|"C"|2900||0|
"BU"|73334431|"CN219930"|"AN6666"|"ACT"|129999|"99999999"|"Logan Airport Area"||1||"02128"||"Great opportunity to run your own business...  super convenient location, 7 minutes to Boston Logan Airport, 5 minutes to Maverick Subway Station."|10|2/11/2025 7:13:00 PM|0|"N"||"Suffolk"|"MA"|"C"|737||3|
"BU"|73346605|"NB111199"|"AN4885"|"ACT"|125000|"164"|"Brighton Avenue"||1|"010"|"02134"||"The turn-key Bubble Tea Store is located near Harvard Street on Brighton Avenue. The asking price is less than the seller’s equipment, furnishings, and facilities. The walk-in cooler is on the first floor,  plus valuable basement space. This is an excellent opportunity for your own business. More detailed information is available in the office."|12|3/18/2025 1:17:00 AM|0|"N"||"Suffolk"|"MA"|"C"|800||2|"N"
"BU"|73346808|"CN257907"|"AN1378"|"ACT"|120000|"305"|"Newbury Street"||1||"02115"||"Incredible Opportunity to own your Beauty & Spa business on the prestigious Newbury Street in Boston! Prime location with high foot traffic surrounded by luxury retail, salons, and restaurants. This well-established space is beautifully designed and fully equipped — perfect for beauty professionals, hair stylists, aestheticians, nail technicians, or wellness services. Benefit from a loyal client base with strong potential for growth. Whether you're looking to expand your brand or start fresh in one of the most sought-after locations in Boston, this turn-key business is ready for you. Opportunities like this on Newbury Street are rare — don't miss out!"|20|3/18/2025 1:18:00 PM|0|"N"||"Suffolk"|"MA"|"D"|0|0|0|
"BU"|73349540|"CN235721"|"AN8461"|"ACT"|150000|"TBD"|"Charles Street"||1|"102"|"02114"||"Great restaurant opportunity on Boston's Beacon Hill!"|0|3/25/2025 8:13:00 AM|0|"N"||"Suffolk"|"MA"|"C"|600||0|
"BU"|73351460|"BB810140"|"AC0429"|"ACT"|39000|"9999"|"Confidential St"||1|"110"|"02111"||"Here is your chance to run your Salon/Barbershop business with affordable price, the business has been running over 23 years by the same owner. All business equipment will stay for the new owner. many old clients come back frequently will give support to the new owner.  The buyer needs to pay small Triple net amount on the lease. Seller gets ready to retire. Landlord can give new long term lease. Don't bother during business hour without appointment. Showing will be easy just give 24 hours notice."|8|3/27/2025 11:39:00 PM|0|"N"||"Suffolk"|"MA"|"D"|0||0|
"BU"|73360052|"CN254991"|"AN8022"|"ACT"|800000|"000000"|"commonwealth ave"||1||"02215"||"Located in the heart of the vibrant BU campus area, this well-known 3,500 sq. ft. Asian restaurant offers a turnkey opportunity with strong income potential. Features include 22 indoor tables with 88 seats, plus a spacious outdoor patio with seating for 36. Fully renovated in 2021—everything from equipment to systems is like new. The sale includes a valuable Wine and Malt Beverages with Liqueurs License. Steady annual revenue and a high-traffic location make this a must-see."|0|4/15/2025 4:49:00 PM|0|"N"||"Suffolk"|"MA"|"B"|3500||2|
"BU"|73360538|"A8000802"|"A95389"|"ACT"|40000|"42"|"Beach St, 1FL Food Court"||1|"110"|"02111"||"Price reduced! Rare opportunity, Busy business location in Chinatown Boston. Food concession operated within food hall environment. Fully equipped, currently operating as juice bar/bobble tea with light snack, order to go business. 2 years new equipment are included in sale. Fully licenses, can take over immediately and start to making money.  Please call for more information."|5|5/10/2025 1:54:00 PM|0|"N"||"Suffolk"|"MA"|"C"|300||0|
