PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|SALE_AGENT|SALE_OFFICE|SALE_PRICE|SETTLED_DATE|NEIGHBORHOOD|COUNTY|STATE|BU_TYPE|LOT_SIZE|BLDG_SQ_FEET|PARKING_SPCS|REAL_ESTATE_INCLD
"BU"|72772502|"M9500003"|"M95313"|"SLD"|142797|"550"|"Main St"||839|"849"|"01151"||"Very High traffic rt21 corner of Indian Orchard / Ludlow Bridge"|18|1/20/2021 5:11:00 PM|0|"N"|"cn233204"|"an0808"|140000|6/25/2025||"Hampden"|"MA"|"M"|0||20|
"BU"|72820307|"BB805971"|"BB6023"|"SLD"|349900|"0"|"Confidential"||15||"02148"||"Attn: Investors & Entrepreneurs don’t miss out on this incredible opportunity to take over the reins of this well established & loved Daycare Preschool licensed for 58 children.  After 22 years of teaching and mentoring hundreds of children from 15 months to 6 years of age - Owner is looking to retire.  Long term full time Director, Teachers & T. Aids are all looking to stay on which will make this a seamless transition. Plus Owner will provide some training & support. Lots of opportunity to grow business with possible after school & weekend programs.  Price includes all furniture, fixtures & equipment, Curriculum, website, software, award winning brand recognition, etc.  Fantastic location with a Long term lease in place."|7|4/29/2021 10:21:00 AM|0|"N"|"BB805971"|"BB6023"|350000|1/15/2025||"Middlesex"|"MA"|"M"|0||6|"N"
"BU"|73070853|"CN220299"|"AN6208"|"SLD"|605000|"117"|"Clinton St"||409||"01545"||"It is one of a kind, freestanding with 3 businesses in the same store: a Convenience store with a Beer&Wine and a pizza business with an open kitchen. The building is 2784 sqft + the basement on almost half of an acre. The store has new equipment, appliances, floor, lighting, electric wires, heat & AC, water tank, a handicapped entrance, and shelves. One of the biggest construction companies in the USA bought 110 Acres in front of the store and they will begin their project construction this summer, they already sold 2 buildings for a dispenser and Pollar company. They will build a new central distribution area to sell it to different companies. The store was closed for 3 years for renovation and personal health issues, but the historical sale was more than $1.5M/Y. The seller reopened the store only 8 months ago, with $725k for the RE and $0k for the renovation, Beer & Wine, tobacco license, and business. The current income is only $7500 in 6 days—huge potential to increase the sales."|10|5/7/2024 12:07:00 PM|0|"N"|"CN220299"|"AN6208"|575000|11/1/2024||"Worcester"|"MA"|"K"|17500||8|
"BU"|73097524|"E9500340"|"AN8246"|"SLD"|850000|"491"|"Pine Street"||526||"01002"||"This historic structure in Cushman Village houses a market/cafe and a 2 bedroom apartment.  The price includes the turn-key business known as the Cushman Market & Cafe.  This is a chance to own an Amherst landmark.  The Market holds a wine & beer sales license and a permit for indoor seating for 32 and patio seating for 24.  The building also has an apartment that generates additional income.  This business weathered Covid quite well, and is a solid money maker.  Please see the attachments to this listing for additional information."|37|4/19/2023 3:21:00 PM|0|"N"|"E8000127"|"AN5472"|870000|9/9/2024||"Hampshire"|"MA"|"C"|18376|3436|20|"Y"
"BU"|73113368|"M9500176"|"M95184"|"SLD"|110000|"378"|"Walnut Street Extension"||851||"01001"||"TUCKED AWAY ON 378 WALNUT ST EXTENSION IN AGAWAM,THE TOWNE TAPROOM IS A HIDDEN GEM.SERVING UP THE LATEST IN FRESH FOOD,TRENDING CRAFT BEER,ECLECTIC COCKTAILS AND OF COURSE, LOCAL ENTERTAINMENT. TRENDY UP SCALE MEETING PLACE NOW FOR SALE! FULL RESTAURANT BUILD OUT- WITH BAR - 99 SEATS ON PREMISES FULL LIQUOR LICENSE - KENO,AMUSEMENT LICENSE- LIVE BANDS ( INSIDE ONLY) AUTOMATIC AMUSEMENT LICENSE(POOL TABLE) DARTS,TOUCH TUNES. ALL LICENSES UP TO DATE.THIS IS A TURN KEY BUSINESS -ALL TRADE FIXTURES INCLUDED IN SALE."|18|5/18/2023 9:29:00 AM|0|"N"|"m9500176"|"m95184"|100000|2/27/2025||"Hampden"|"MA"|"B"|26000|3000|20|"N"
"BU"|73128503|"FR000264"|"AN4790"|"SLD"|99900|"0"|"Acushnet Ave."||156||"02746"||"For sale - Business, Equipment. Full Liquor License. Great business opportunity. Turn key operations with kitchen set up. Great North End location. Please call for more information. Kitchen set up with exhaust fan."|3|6/22/2023 2:20:00 PM|0|"N"|"CN208720"|"AN8166"|90000|7/26/2024||"Bristol"|"MA"|"I"|0||0|
"BU"|73128773|"CN220299"|"AN6208"|"SLD"|275000|"337"|"Gannett Rd"||202||"02066"||"Location, location, location. Seven-Eleven franchised convenience store for sale in Scituate, high revenue of more than $1.9 million per year. One of the oldest and the biggest convenience store business in Scituate for Sale. It is located on a busy street, next to offices, Churches, school areas, and residential areas. The store offers a deli, Beer&Wine, coffee, lottery, tobacco products, Ice cream, snacks, drinks, ATM, and EBT. Good lottery commission. Excellent reputation. Turnkey, don't miss it."|4|6/22/2023 10:27:00 PM|0|"N"|"CN220299"|"AN6208"|250000|8/10/2024||"Plymouth"|"MA"|"E"|2000|5000|12|"N"
"BU"|73140606|"CN224183"|"AC1693"|"SLD"|269900|"699"|"Grattan Street"||857|"07V"|"01020"||"*Lease-to-Own or Entire Business Purchase Opportunity* Here is your chance to jump into the lucrative sports bar business with a unique OWNER-FINANCING & LEASE OPTION AVAILABLE! Turn-key, fully operational & established bar in the heart of Chicopee ready for its next chapter - bring your ideas! This high-traffic commercial unit sits on the corner of a main street & has over 20+ years of history as a bar lounge (current owner established TD's Pub in 2011). Event-friendly space inside perfect for bands, pool leagues, sporting events (9 TVs), fundraisers, trivia and more. Back bar features 4-tier bottle display, LOTTERY/KENO, 8 beer taps and cooler/freezer storage. BONUS FOOD STATION with low-maintenance fryers to add a simple menu & open up more revenue sources. Stately front bar extends the length of room with 17+ seats plus an additional 9 bar tables throughout. Parking lot located in back of building + public parking available. Private basement with storage with LARGE WALK-IN FREEZER."|28|7/26/2023 5:08:00 AM|0|"N"|"CN250739"|"AN4072"|235000|8/30/2024||"Hampden"|"MA"|"I"|1000||10|"N"
"BU"|73143013|"CN220299"|"AN6208"|"SLD"|225000|"463"|"Essex St,"||311||"01906"||"Well established profitable pizza/Roast beef and sub. The restaurant is in a strip plaza next to the downtown and Melrose border in an outstanding high foot traffic year-round location. The place can seat up to 16 people. The lowest average income is $14000 weekly. The business was established 25 years ago and managed by different 3 owners. Equipment includes a pizza conveyor oven- saves energy-, a vertical oven for the roast beef, a walk-in fridge, 2 freezers, 2 cold/salad stations, 2 fry stations, a large grill, dough machine, microwave, warmer, and 2 soda fridges. Growth & Expansion: to mail coupons to the next-door residential area. Great opportunity to own a business in North Boston; call now."|2|8/1/2023 1:50:00 PM|0|"N"|"CN220299"|"AN6208"|80000|2/28/2025||"Essex"|"MA"|"C"|67082|1200|28|"N"
"BU"|73161129|"CN207682"|"AN2376"|"SLD"|220000|"000"|"TBD"||41||"02472"||"Location ~ Location~ This restaurant its at the shopping plaza of Watertown with lots of parking. $1080000 Annual gross income. Monthly rent $8146 (Included nnn) , Lease has 5 years left and 5 more years extension that's optional.. Full Liquor License.  3000 sq.ft +/- . 100 seats."|15|9/19/2023 7:51:00 PM|0|"N"|"CN254913"|"BB9279"|180000|5/28/2025||"Middlesex"|"MA"|"B"|999999||50|
"BU"|73167789|"CT003608"|"BB5675"|"SLD"|120000|"2368"|"massachusetts ave"||13|"PSQ"|"02140"||"Turned key 1500sqft market with beer & wine license for sale.  The market is on the busy Massachusetts avenue with good traffic. Completely renovated just a few years ago. Walk-in freezer, kitchen equipment , shelfs , inventory can be all included. The commercial space was recently completely built with a contemporary design. Please contact listing agent for lease and rent info."|17|10/6/2023 8:03:00 PM|0|"N"|"ct003608"|"BB5675"|90000|9/26/2024||"Middlesex"|"MA"|"K"|99999999||0|"N"
"BU"|73171252|"B8000141"|"NB1288"|"SLD"|299000|"999"|"Confidential Street"||372||"01852"||"Well established restaurant business for sale. Great bar and seating with large glass doors opening into the outdoor seating area. 99 interior seats, approximately 60 outdoor seats, Beer Tap System, Toast/POS and online ordering system. Full size basement for additional storage. Liquor license. This listing is confidential and requires a  Confidentiality Agreement. Please inquire within."|1|10/17/2023 5:05:00 PM|0|"N"|"B8000141"|"NB1288"|299000|9/12/2024||"Middlesex"|"MA"|"B"|7238||0|"N"
"BU"|73181493|"G0001425"|"AN0395"|"SLD"|195000|"183"|"N End Blvd"||345||"01952"||"Turnkey beach convenience store located steps from the Atlantic Ocean and Salisbury's  bustling center. ( Approx 2200 sf unit).  Open 7 days a week from 7 am until 8 pm includes week-ends. Summers are  busy! Lotter, Keno cigarettes and beer and wine sales ! Don't let this deal pass you by, the new owner can negotiate  new lease  prior to taking ownership. Seller will train buyer and introduce to the different wholesalers where to purchase the merchandises.  Ample parking"|19|11/17/2023 1:52:00 PM|0|"N"|"G0001425"|"AN0395"|174000|10/7/2024||"Essex"|"MA"|"K"|0.34||10|"N"
