PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|NEIGHBORHOOD|COUNTY|STATE|CI_TYPE|SPACE_AVAILABLE|RSU_UNITS|RSF_BLDG_SF|OFU_UNITS|OFF_BLDG_SF|REU_UNITS|REF_BLDG_SF|WAU_UNITS|WAF_BLDG_SF|MAU_UNITS|MAF_BLDG_SF|NO_STORIES|TOTAL_UNITS|TOTAL_BLDG_SF|LOT_SIZE|ACRE|PARKING_SPACES|PARKING_FEATURE|SHORT_SALE_LENDER_APP_REQD
"CI"|71968638|"E8000133"|"AN5912"|"ACT"|750000|"23"|"Industrial Dr"||509||"01337"|"N"|"Ideally suited property for self-storage units, Solar, trucking depot, dispensary, etc. Direct access on/off Interstate 91. An easy parcel to do site work, town water, no sewer. 5 miles south of Vermont line. Visible from Route 10 and I-91 southbound.  All open land, borders Fall River on the west. Kringle Drive is dead-end.  5.62 acres, no buildings, vacant land only. Directly adjacent to Kringle Candle manufacturing facility."|9|3/8/2016 10:31:00 AM|939524093|"N"||"Franklin"|"MA"|"B"|"A"|0|0|0|0|0|0|0|0|0|0|0|||244807|5.62|0||"N"
"CI"|71975613|"J0000997"|"J61900"|"ACT"|265000|"630"|"Dwight Street"||858||"01040"|"N"|"Prime Downtown Corner location across from U.S. Post Office & Veterans Park is perfect site for re-use or new development of this former 3 bay service station on big, open, paved lot with multiple curb cuts. Building is masonry,  possibly dividable for good leasehold tenant income, has good facility & utility potential, new roof installed June 2023 (apo) with drive-thru canopy still in place.  All underground tanks were removed (apo.) & property should be clean. Ideal for a variety of approved uses such as retail, offices, contractor/service companies, mechanical, automotive sales/repair, etc. but does have some other deeded use restrictions including but not limited to, no petroleum/fuel sales. Call listing agent for details. Also features high visibility & traffic count with convenient access to & from all city amenities & services, surrounding communities,  major routes & highways. Close to other recent & planned redevelopment & investment projects.  Available immediately."|5|3/23/2016 10:03:00 AM|-1475525153|"N"||"Hampden"|"MA"|"A"|"A"|0|0|1|254|1|2000|0|0|0|0|1|2|2254|14640|0.34|12|"E,F,G,J,N,S"|"N"
"CI"|72303712|"CN226353"|"C95118"|"EXT"|17.5|"10"|"Federal St"||316||"01970"|"N"|"3,000-11,000 sq. ft. of office space available for lease . The property is located in the heart of downtown Salem,  a short walk from the commuter rail station/garage, Essex County Courts, City Hall, Peabody Essex Museum, Pickering Wharf, restaurants, shopping, hotels, municipal parking, and many of the city's historic, cultural, and seasonal destinations and attractions. The building is handicap accessible, with elevators on both ends, and features on-site parking (the number of spaces calculated by leased area), new common men's & women's restrooms on the 3rd floor, and extensive window lines. The building is suitable for many uses, including general office/administration, medical, and executive suites with shared amenities. Flexible floor plans. utilities, CAM, RET, Bldg. Ins., and basic build-out. Communications, internet, & office cleaning by Tenant."|18|2/28/2025 11:41:00 AM|0|"N"||"Essex"|"MA"|"E"|"B"|0|0|3|16000|0|0|0|0|0|0|5|3|16000|52540|1.21|86|"B,K,N,S"|"N"
"CI"|72383914|"TEAM0213"|"AC1952"|"ACT"|349500|"950"|"Bay St"||839||"01109"|"N"|"Motivated seller bring your offer! Well established diner in a high traffic area for sale for the first time in 30 years. Step back into yesteryear with this updated 50's style diner. Price includes building, equipment, and established business with financials. Owner retiring however willing to work with new owners for transition but will NOT owner finance."|28|8/24/2018 7:36:00 AM|2097151|"N"||"Hampden"|"MA"|"A"|"A"|0|0|0|0|0|0|0|0|0|0|1|||14658|0.34|25||"N"
"CI"|72425553|"CN210951"|"AN4571"|"ACT"|19.5|"40"|"Nagog Park"||58||"01720"|"U"|"2,992 rentable square foot suite that can be leased separately or combined with the adjacent 3,112 square foot suite to provide a full floor 6,104 rentable square feet. There is a full floor of approximately 6,000 rsf on the first floor with direct access to loading as well as a full floor of approx. 6,000 rsf on the third floor with window line throughout."|9|2/15/2022 8:48:00 PM|0|"N"||"Middlesex"|"MA"|"E"|"B"|0|0|1|6104|0|0|0|0|0|0|3|6|18000|6.23|0|60||"U"
"CI"|72444511|"M9500176"|"M95184"|"PCG"|5500|"215"|"Shaker Rd"||853||"01028"|"N"|"LAND LEASE OR BUILD TO SUIT   PLANS IN PLACE FOR A 3600 SQ FT FREE STANDING BUILDING WITH 43 PARKING SPACES.BRING YOUR DESIGN THE LEASE WILL BE TRIPLE NET"|3|4/15/2025 10:48:00 AM|38899980|"N"||"Hampden"|"MA"|"B"|"B"|0|0|0|0|0|0|0|0|0|0|0|||0|0|43|"K"|"N"
"CI"|72454662|"M9502269"|"M95284"|"ACT"|7|"1"|"Cabot Street"||858||"01040"|"N"|"Updated four-story mill building with existing cannabis businesses and approved parking, fire safety, sallyport, and common bathrooms.  Three phase/480 available with the lowest commercial electric rates in Western Massachusetts.   Two elevators, multiple loading docks/drive-in and common sally port with video security.  Triple Net is an additional $2.00/sf per year.  Current cannabis tenants include manufacturing, processing, distribution, and retail.  First and second floors mostly built out with finished walls, ceilings, and epoxy flooring. Building has expanded electrical service, new roof, and newer windows being installed. State of MA is expanding grant monies which can be used for lease payments and buildouts."|15|2/10/2025 10:03:00 AM|0|"N"||"Hampden"|"MA"|"B"|"B"|0|0|0|0|1|3000|0|0|4|217000|4|7|19000|99708|2.28|50||"N"
"CI"|72480966|"M8000938"|"E21301"|"ACT"|199900|"38"|"College Highway"||861||"01073"|"N"|"This 7.5 acre prime commercial building lot is located on heavily traveled Route 10, provides great visibility and is a stones throw away from major retailers, Big Y, Walgreens, O'Reilly Auto Parts and Tractor Supply Co!!  This beautiful site has acres of flat land, 891 feet of street frontage(possibility for more than 1 building lot) and the rear property line abuts the Manhan River providing a very peaceful setting."|14|4/11/2019 1:29:00 PM|1063845873|"N"||"Hampshire"|"MA"|"D"|"A"|0|0|0|0|0|0|0|0|0|0|0|0|0|326700|7.5|20||"N"
"CI"|72678460|"CN215624"|"AN3855"|"ACT"|4500|"2"|"Summit Ave"|"1"|12|"06Y"|"02446"|"N"|"Brookline Commercial Space Available NOW! 1700 Sq ft $4500 per month Triple Net Lease. Check out this amazing Brookline commercial flex space, steps from Beacon St and the T. This unit's location offers great visibility, foot traffic and automobile traffic. Formerly a real estate office this space is ideal for office, salon, spa, laundromat, dry cleaner, or retail use and can be flexible to suit your business need. Layout featuring a first floor with private rear office and finished basement with 1/2 bathroom, ample open space, central A/C, storage space and 3 off street parking spaces included at the rear of the building. Unit is to be built to suit by tenant and is available now. Don't miss this great opportunity in an ideal location for your business."|18|6/22/2020 9:21:00 PM|0|"N"||"Norfolk"|"MA"|"A"|"B"|1|850|1|850|1|2000|0|0|0|0|3|||10000|0.23|3|"B,M,S"|"N"
"CI"|72684253|"G8002094"|"D49801"|"ACT"|4500|"1255"|"Bridge Street"||371||"01826"|"N"|"Great retail/office space available now.  Property has over 2,500 square feet of space and a large lot with over 20 spaces of parking.  Traffic count approximately 14,000 cars per day.  This commercial location is shadowed by Market Basket Plaza, McDonalds, Advanced Auto Parts, Walgreens and more.  Location is key and this is it."|13|7/2/2020 2:14:00 PM|0|"N"||"Middlesex"|"MA"|"A"|"B"|0|0|1|2575|0|0|0|0|0|0|1|1|2575|29233|0.67|25|"K,N"|"N"
