PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|SALE_AGENT|SALE_OFFICE|SALE_PRICE|SETTLED_DATE|NEIGHBORHOOD|COUNTY|STATE|CI_TYPE|SPACE_AVAILABLE|RSU_UNITS|RSF_BLDG_SF|OFU_UNITS|OFF_BLDG_SF|REU_UNITS|REF_BLDG_SF|WAU_UNITS|WAF_BLDG_SF|MAU_UNITS|MAF_BLDG_SF|NO_STORIES|TOTAL_UNITS|TOTAL_BLDG_SF|LOT_SIZE|ACRE|PARKING_SPACES|PARKING_FEATURE|SHORT_SALE_LENDER_APP_REQD
"CI"|71267045|"C9500063"|"C95283"|"SLD"|995000|"159"|"Beach Road"||345|"SBE"|"01952"|"N"|"A Salisbury Beach landmark!  Up until recently the property was used as a take-out restaurant (Foote's Ice Cream). Excellent visibility along the Route 1A corridor that leads to the beach center. Property is in the Beach Commercial zone and suitable to multi-unit residential development."|6|5/8/2012 12:50:00 PM|63|"N"|"CN203141"|"AN0634"|900000|3/27/2025||"Essex"|"MA"|"A"|"A"|0|0|0|0|1|1026|0|0|0|0|1|1|1026|31363|0.72|15|"J,N,S"|"N"
"CI"|71944685|"CN226353"|"C95118"|"RNT"|12.5|"30"|"Main St"||322||"01983"|"N"|"Lease a 2,800 sq. ft. end-cap unit in a neighborhood strip center, located close-by Rts.1 & 97. On-site parking. Utilities (gas & electric) are separately metered. NNN charges are $5.50-$6.00 per sq. ft. Co-tenants include: hardware store, restaurant, fitness, gift shop, spa, boutique, and hair salon."|9|4/5/2018 2:23:00 PM|-1610612742|"N"|"CN226353"|"C95118"|10.75|4/11/2025||"Essex"|"MA"|"A"|"B"|0|0|0|0|1|2800|0|0|0|0|1|1|2800|156380|3.59|200|"K,S"|"N"
"CI"|72313041|"CN209042"|"AN1651"|"SLD"|2500000|"174"|"Duchaine Blvd."||156|"NFN"|"02745"|"N"|"The 47,444 SF free-standing industrial building is situated on 5.234 Acres and is currently 100% occupied by three tenants.  The front portion, 21,027 SF is available and is comprised of first class, air-conditioned reception/office, kitchen/break area, bathrooms and manufacturing/warehouse space accessible to shared loading area offered to lease, $8.00/NNN.  The property is located near the main entrance to the industrial park is an ideal investment or owner/occupied location.  Excellent highway access to Route 140 and good local access along Route 18."|20|4/22/2018 5:05:00 PM|0|"N"|"CN209042"|"AN1651"|2100000|8/2/2024||"Bristol"|"MA"|"B"|"C"|0|0|1|8000|0|0|1|26000|1|13444|1|3|47444|227818|5.23|100|"K,S"|"N"
"CI"|72381445|"BB804301"|"AN6245"|"SLD"|549900|"495"|"Main St"||428||"01550"|"N"|"High visibility commercial site located at the gateway to the Central Core district. Perfect lot to build new. This level .98 acre lot is zoned for General Business use with the Central Core Overlay. Many options are possible, including retail, professional offices, municipal, educational facility, mixed use, as well as food and beverage; some requiring a special permit. Busy Main St location.  Corner lot with significant frontage on both Main St and Marcy St. Regional and national retail and food/beverage firms are located on the next block. Located across the street from a $25 million senior housing conversion.  Call for more details."|17|8/13/2019 1:25:00 PM|0|"N"|"CN240656"|"AN0394"|440000|8/7/2024||"Worcester"|"MA"|"D"|"A"|0|0|0|0|0|0|0|0|0|0|0|||42689|0.98|0||"N"
"CI"|72383563|"M9500176"|"M95184"|"RNT"|17|"459"|"Main St"||839|"849"|"01151"|"N"|"Currently the United Bank occupies this 3200 sq ft street front location with approved drive thru location.We are accepting applications for a new tenant in this location.  Great Bank site or phone store location.  What is your idea??"|1|8/23/2018 2:17:00 PM|196606|"N"|"h1111111"|"h11111"|3000|7/29/2024||"Hampden"|"MA"|"A"|"B"|0|0|0|0|1|3200|0|0|0|0|1|1|3200|411768|9.45|100|"F"|"N"
"CI"|72403167|"BB803680"|"AN1560"|"SLD"|3000000|"66"|"Geneva Ave"||1||"02121"|"U"|"ATTN: DEVELOPERS AND INVESTORS, A UNIQUE OPPORTUNITY TO OWN A MAGNIFICENT BUILDING SITUATED ONE BLOCK FROM HISTORIC GROVE HALL-NEWLY CONSTRUCTED LIBRARY ACROSS STREET. 17,500 SQ/FT OF TOTAL AREA AND 19,674 SQ/FT LOT SIZE. CURRENTLY USED AS A CHURCH AND STORAGE FACILITY. 4 COLUMNS INSIDE, 2 DRIVE IN DOORS, SPRINKLER SYSTEM-, 400 AMP ELECTRIC, 18"" CEILINGS, SHOPPING MALL, 2 BANKS, FIRE STATION AND RESTAURANTS, DRUG STORE,ASSESSED VALUE HAS INCREASED BECAUSE OF NEW DEVELOPMENT. .SOLD AS IS. A GREAT OPPORTUNITY."|3|9/28/2018 11:40:00 PM|0|"N"|"BB954705"|"AN1560"|3000000|2/11/2025||"Suffolk"|"MA"|"A"|"A"|0|0|0|0|1|2174|1|17500|1|0|1|||19674|0.45|8||"U"
"CI"|72668205|"K9500459"|"K95257"|"SLD"|650000|"1606"|"Main Street"||420||"01524"|"N"|"Great exposure and prime visibility for this level parcel of commercial property which abuts the Leicester Super Walmart. Deeded access easement for entry driveway into Walmart directly from the rear of the property.  Maximum exposure in busy Route 9 location is zoned Highway Business 1 and there is a 16"" water line and a 12"" sewer line on Main Street.  Great daily car count. Single family residence on property conveys ""as is"".  Great opportunity!"|13|5/28/2023 11:46:00 AM|0|"N"|"K9500459"|"K95257"|650000|11/4/2024||"Worcester"|"MA"|"D"|"A"|1|2120|0|0|0|0|0|0|0|0|2|||81285|1.87|20||"N"
"CI"|72710425|"CN250931"|"BB3132"|"RNT"|25|"10,010"|"Shops Way"|"N"|406||"01532"|"N"|"2,000 SF first class retail/medical office space for lease located at the entrance of Northborough Crossing, the 650,000 SF Wegmans anchored regional shopping center and mixed use development.  Additional tenants include BJ's Wholesale Club, TJ Maxx, Home Goods, Marshalls, Home Sense, Dicks Sporting Goods, Old Navy and Kohl's. The mixed-used development also includes 375 Avalon apartments, medical offices which include St. Vincent Medical Group, Pedi-Q Urgent Care and Dental Oasis of Metro West as well as restaurants and several fitness options. Additional suites available from 1,000 to 3,000 SF."|5|3/6/2023 1:59:00 PM|0|"N"|"CN250931"|"BB3132"|25|8/12/2024||"Worcester"|"MA"|"A"|"B"|0|0|1|1683|1|1683|0|0|0|0|1|1|1683|829818|19.05|440|"F,L,N"|"N"
"CI"|72747311|"CN250931"|"BB3132"|"RNT"|18|"105"|"Sutton Ave"|"105"|431||"01540"|"N"|"Last space available at the 252,000 SF Oxford Crossing regional Market Basket & Home Depot anchored shopping center conveniently located right off exit 4B of I-395 in Oxford, MA. In addition to Market Basket & Home Depot current tenants at the center include Pet Supplies Plus, El Patron Corona Mexican Restaurant, RF Fitness, Dollar Tree, Kids Zone Dental, Great Clips, Lux Nails, Jays Smoke Shop, Dunkin Donuts, Shell Gas Station. Oxford Crossing is located directly off the I-395/Sutton Ave, Exit 4B interchange.  Space can be subdivided down to 1,000 SF"|10|9/15/2022 12:11:00 PM|0|"N"|"CN250931"|"BB3132"|18|8/12/2024||"Worcester"|"MA"|"A"|"B"|0|0|1|2260|1|2260|0|0|0|0|1|1|2260|287496|6.6|235|"F,K,L,N,S"|"N"
"CI"|72772496|"M9500003"|"M95313"|"SLD"|142797|"550"|"Main St"||839|"849"|"01151"|"N"|"Located right at the High traffic Rt 21 Indian Orchard / Ludlow Bridge ! Many fantastic business opportunities here!"|18|1/20/2021 5:11:00 PM|0|"N"|"cn233204"|"an0808"|140000|7/3/2025||"Hampden"|"MA"|"D"|"A"|0|0|0|0|0|0|0|0|0|0|0|||29512|0.68|20||"N"
