PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|NEIGHBORHOOD|COUNTY|STATE|LD_TYPE|LOT_SIZE|ACRE|ROAD_TYPE|LAND_DESC|ZONE_USAGE|WATERFRONT_FLAG|WATERFRONT|WATERVIEW_FLAG|WATERVIEW_FEATURES|ADULT_COMMUNITY|ELECTRIC_FEATURE|SHORT_SALE_LENDER_APP_REQD
"LD"|71968627|"E8000133"|"AN5912"|"ACT"|750000|"23"|"Industrial Dr"||509||"01337"|"N"|"Ideally suited property for self-storage units, Solar, trucking depot, dispensary, etc. Direct access on/off Interstate 91. An easy parcel to do site work, town water, no sewer. 5 miles south of Vermont line. Visible from Route 10 and I-91 southbound.  All open land, borders Fall River on the west. Kringle Drive is dead-end.  5.62 acres, no buildings, vacant land only. Directly adjacent to Kringle Candle manufacturing facility."|9|3/8/2016 10:22:00 AM|939524093|"N"||"Franklin"|"MA"|"C"|244807|5.62|"A,C"|"E,F,Q"|"G,J"|"N"|||||"B"|"N"
"LD"|72106351|"E0000MPM"|"E23101"|"ACT"|50000|"0"|"Fuller Road"||534||"01032"|"N"|"Beautiful mostly rectangular building lot on queiet country street.  Nice site for your new home.  Fifteen minutes to Northampton."|2|8/17/2022 8:55:00 AM|0|"N"||"Hampshire"|"MA"|"A"|45912|1.05|"A,D,E"|"E,I,U,X"|"A"|"N"||"N"|||"B"|"N"
"LD"|72377634|"A9501385"|"A95292"|"EXT"|899900|"306"|"Route 6A"||115|"ESA"|"02563"|"N"|"A most tranquil spot with privacy and serenity  One of a kind properties unique and extremely unusual. .These 16 acres located just  off scenic Old kings Highway What a wonderful area to build a farm and have horses to ride or board. A farmer perhaps with green houses. Create your own family compound in this special Spring Hill area. Views of Boiling Springs and a working cranberry bog. This is premier property and is available for those seeking an investment or special living. Minutes from Sandwich Village where any new buyer will enjoy the restaurants, Inns, shops, and boating in the marina or fishing along the canal.  This parcel  has access to country trails and conservation land .A true Cape Cod setting."|4|10/6/2019 12:43:00 PM|0|"N"||"Barnstable"|"MA"|"A"|702622|16.13|"A,C,M"|"E,H,I,N,R,U"|"A,E,D"|"N"||"U"|||"B"|"N"
"LD"|72480945|"M8000938"|"E21301"|"ACT"|199900|"38"|"College Highway"||861||"01073"|"N"|"This 7.5 acre prime commercial building lot is located on heavily traveled Route 10, provides great visibility and is a stones throw away from major retailers, Big Y, Walgreens, O'Reilly Auto Parts and Tractor Supply Co!!  This beautiful site has acres of flat land, 891 feet of street frontage(possibility for more than 1 building lot) and the rear property line abuts the Manhan River providing a very peaceful setting."|14|4/11/2019 1:09:00 PM|-1342545945|"N"||"Hampshire"|"MA"|"C"|326700|7.5|"A,C,E"|"D"|"G"|"Y"|"D"|"Y"|"N"||"A"|"N"
"LD"|72485908|"E8000133"|"AN5912"|"ACT"|17850|"Lot 9"|"Fox Hill Rd (Off)"||509||"01337"|"N"|"Beautiful eastern exposure mountainside 17-acre parcel for recreation. No deeded access. 2/3 of a mile from the main road. Not a buildable lot, it does not meet zoning requirements, no frontage on a town road, landlocked. Historically referred to as a “Burner Lot”, which provided firewood for homes down in the village. It was common for Village folks to own a woodlot up on the mountain to cull firewood to heat their homes. Contact your agent or listing agent to obtain a map or viewing. Please do not block gated access, nor leave gate open, cows in pasture!"|1|4/22/2019 8:53:00 PM|0|"N"||"Franklin"|"MA"|"D"|753588|17.3||"H,I"|"D"|"N"|||||"E"|"N"
"LD"|72497877|"BB922079"|"BB5236"|"ACT"|149000|"0"|"Marina Drive"||151|"20V"|"02739"|"U"|"Potential waterviews, with town requirement to construct 19 feet above mean sea level. This lot requires passing perc & well test. Abutting lot is for sale as well with the same owner; possibility of  combining both for over half an acre.  Special permit required through board of appeals to build.  Established neighborhood in waterfront community of Leisure Shores off Brandt Island Rd.  Marina and beach within walking distance."|1|5/10/2019 2:54:00 PM|-1152767133|"N"||"Plymouth"|"MA"|"A"|13076|0.3|"A,D"|"C"|"A"|"N"||"U"|||"B"|"N"
"LD"|72497908|"BB922079"|"BB5236"|"ACT"|149000|"0"|"Marina Drive"||151|"20V"|"02739"|"N"|"Potential waterviews, with town requirement to construct 19 feet above mean sea level. This lot requires passing perc & well test. Abutting lot is for sale as well with the same owner; possibility of  combining both for over half an acre.  Special permit required through board of appeals to build.  Established neighborhood in waterfront community of Leisure Shores off Brandt Island Rd.  Marina and beach within walking distance."|1|5/10/2019 3:33:00 PM|-615896222|"N"||"Plymouth"|"MA"|"A"|13056|0.3|"A"|"C"|"A"|"N"|||||"B"|"N"
"LD"|72588166|"M9500176"|"M95184"|"ACT"|119900|"Lot B"|"Jeffrey Lane South"||853||"01028"|"N"|"Approved one lot subdivision. All approved - come see the plan and start work!"|3|2/20/2025 10:16:00 AM|0|"N"||"Hampden"|"MA"|"A"|89864|2.06||"D"|"A"|"N"||"N"|||"B"|"N"
"LD"|72599377|"BB902299"|"C03800"|"ACT"|4000000|"90"|"Maple St"||55||"01770"|"N"|"Button Ball Farm offers the potential for a wonderful estate lot with privacy and views and also has development potential. It consists of 90± acres of land with 629± feet of frontage on Maple Street. The site includes an Antique Colonial originally built in 1772. It would need restoration or could be removed. There is an extensive trail network that runs to adjacent conservation land owned by the Town of Sherborn. Topography ranges from approximately 230 to 330 feet. Of the 90+ acres approximately 23+ acres are wetland."|4|5/8/2024 3:00:00 PM|0|"N"||"Middlesex"|"MA"|"A"|3920400|90|"A,C"|"F,G,I"|"A"|"N"||"N"|||"B"|"N"
"LD"|72690617|"M9501076"|"AN7318"|"ACT"|75000|"0"|"East River Rd Lot 13 Map 409"||833||"01050"|"N"|"Private 18 acre lot! 200 feet of frontage & 3000 feet back w/winding trails & a brook. From the road there is a little clearing with ATV trails to the right & an old over grown skidder trail to the left as land has not been logged since 2007. The skidder trail rises up to the top of a ridge & there is a brook in the back left corner. The ATV trails wind gently leading up to the flatter portions w/possible views & home site location potential. There is electric on the street. One mile down the road are the Littleville Fairgrounds and Dayville. Trails criss cross over east river road in a few locations offering you the ability to explore beyond your property into many of the hilltowns' recreational destinations. This property would make a great recreational camp for hunting, fishing, hiking & more or it could be the site to build your dream home. Plot plans & old logging plan in photos. Lot 14 to the right is also for sale different owner, similar lot, possibility to purchase both."|7|2/21/2022 10:35:00 AM|0|"N"||"Hampden"|"MA"|"A"|786258|18.05|"A,C,E"|"H,I,K,O"|"A"|"N"|||||"B"|"N"
