PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|SALE_AGENT|SALE_OFFICE|SALE_PRICE|SETTLED_DATE|NEIGHBORHOOD|COUNTY|STATE|LD_TYPE|LOT_SIZE|ACRE|ROAD_TYPE|LAND_DESC|ZONE_USAGE|WATERFRONT_FLAG|WATERFRONT|WATERVIEW_FLAG|WATERVIEW_FEATURES|ADULT_COMMUNITY|ELECTRIC_FEATURE|SHORT_SALE_LENDER_APP_REQD
"LD"|72090254|"BB910344"|"AN4902"|"SLD"|850000|"766"|"Somerset Avenue"||174||"02715"|"N"|"Great opportunity with over 125 acres of raw land ready for your development.  This acreage is comprised of three adjacent parcels with ample frontage totaling approximately 500 linear feet along Somerset Avenue in two stretches--one approximately 240 linear feet and one approximately 260 linear feet.  All due diligence, including such items as permitting, zoning review, weltands / conservation, etc., are the responsibility of buyer at buyer's expense. Access to the interior of the existing home at 766 Somerset Avenue is forbidden. The parcels are comprised of 766 Somerset Avenue (Map 9 Parcel 14 - 38.7+/- acres), 0 Somerset Avenue (Map 9 Parcel 12-1 - 20.5+/- acres) and 0 Somerset Avenue (Map 9 Parcel 11 - 66.2+/- acres)."|2|11/5/2016 7:17:00 PM|0|"N"|"BB910344"|"AN4902"|600000|12/10/2024||"Bristol"|"MA"|"A"|5462433|125.4|"A"|"B,G,I,N"|"A,G"|"N"||"N"||"N"|"F"|"N"
"LD"|72282708|"BB700064"|"BB5962"|"SLD"|4000000|"0"|"Heron"||1||"02132"|"N"|"INVESTORS/DEVELOPERS, don't miss this fantastic multi-property investment  0n 1.1 acres are 9 lots of which there are an impressive 6 lots of level land (once part of a farm), a lovely ranch built by the owner with beautiful landscaping, and an enormous 3-Family (4488 sf) with a small desirable warehouse.  All of this is on a quiet street in West Roxbury off of Washington St.!  The house has a terrific master suite attached above the 2-car garage, and the 3-Family is perfect for renovation & condo conversion with 3 beds in each unit.  This is a fabulous multi-option property, not to be ignored. This street includes a Multi-family, a commercial property and single family, which may suggest variance options for the land.  Do your own due diligence about the potential possibilities here. Most of your questions will be answered in the attached documents."|11|2/16/2018 6:46:00 PM|40953|"N"|"TM350640"|"M95356"|2000000|11/15/2024||"Suffolk"|"MA"|"A"|0|0|"C,H,L"|"D,R"|"A"|"N"||||"N"|"A"|"N"
"LD"|72402855|"M8000530"|"M95260"|"SLD"|259900|"0"|"Blandford Rd"||837||"01071"|"N"|"Rare opportunity to build your dream home on over 90 acres with unobstructed breathtaking views and small pond. This lot offers complete privacy, fantastic views and short drive into Westfield. Some site work has been done including perc test and roughed in driveway area."|3|9/28/2018 1:17:00 PM|33231662|"N"|"M8000530"|"M95260"|260000|2/7/2025||"Hampden"|"MA"|"A"|4072860|93.5||"F,X"|"A"|"N"||"N"||"N"|"C"|"N"
"LD"|72531609|"K0002062"|"K01280"|"SLD"|700000|"Lot 3-1&2"|"Williamsville Road"||470||"01331"|"N"|"Builders! 2 very large lots in rural Phillipston, MA containing a total of 172.9 acres of undeveloped land in RA zone, located in sparsely developed south section of Phillipston, MA .  Potential for multiple frontage lots.  Total road frontage is approx. 2,433 ft.  Lot 1 has river frontage at the rear on The Burnshirt River. This is a raw land offering.  Buyer will be responsible for performing all percolation tests, engineering, permits and obtaining all approvals."|4|5/11/2021 12:34:00 PM|0|"N"|"k0002062"|"k01280"|550000|10/29/2024||"Worcester"|"MA"|"A"|7531524|172.9||"B,I,N"|"A"|"Y"|"D"||||"B"|"N"
"LD"|72562323|"CN234803"|"AN8183"|"SLD"|89000|"975"|"Stony Hill Road"||855||"01095"|"N"|"Discover the potential of this expansive 11.97-acre parcel nestled in the serene landscapes of Wilbraham, MA.  With approval for one building lot, this vast expanse offers the perfect canvas for realizing your dream home or investment project. Enjoy unparalleled privacy amidst lush greenery creating a tranquil retreat away from the hustle and bustle of city life. Don't miss this opportunity to own a piece of paradise in this coveted location!"|1|9/10/2019 4:50:00 PM|0|"N"|"CN234803"|"AN8183"|85000|4/2/2025||"Hampden"|"MA"|"A"|521413|11.97|"A,C,E"|"I"|"A"|"N"||"N"|||"B"|"N"
"LD"|72609134|"BB301761"|"NB9391"|"SLD"|5995000|"967-979"|"Washington Street"||39|"NVL"|"02460"|"N"|"NEWTONVILLE PROPERTY - 3 PARCELS BEING SOLD AS LAND. THERE WILL NOT BE ACCESS INSIDE ANY OF THE BUILDINGS.  967-979 WASHINGTON STREET 170' FRONTAGE 13,322 SF - CURRENTLY USED FOR RETAIL.  96 WALKER STREET 65' FRONTAGE 10,328 SF - CURRENTLY USED AS A 2-FAMILY INCOME PROPERTY -  92 WALKER STREET 65' FRONTAGE 10,580 SF - CURRENTLY USED AS A SINGLE FAMILY PRIMARY RESIDENCE. ALL PARCELS ARE IN MR-3 ZONING."|1|1/17/2020 1:01:00 PM|0|"N"|"BB301761"|"NB9391"|6000000|7/17/2025||"Middlesex"|"MA"|"A"|34230|0.79|"A,C,E,I,L"|"U"|"B"|"N"|||||"A"|"N"
"LD"|72612200|"A8000173"|"A95066"|"SLD"|699000|"44"|"S Main St"||183||"02379"|"N"|"Great development opportunity, high visibility location with 313 feet of frontage on Rte 106 and 750 ft of frontage on Rte 28 zoned W Bridgewater Town Center Zone.  Last used as a small pitch and putt golf course, the possibilities are endless.  Buildable acreage is determined by the portion of wetlands and electrical easement on property.  There are 3 outbuildings on property that are included in sale. Ideal location for commercial or mixed use development.  Priced below assessed value."|15|1/27/2020 11:18:00 AM|0|"N"|"A8000173"|"A95066"|550000|5/19/2025||"Plymouth"|"MA"|"C"|566280|13|"A,C,E,M"|"B,D,G,K,Q"|"A,B,E,G,H"|"N"||"N"|||"A"|"N"
"LD"|72674949|"G8000172"|"G46000"|"SLD"|399900|"0"|"Washington Street"||365|"EMT"|"01844"|"N"|"Attention Builders!  Best Location in Methuen. Beautiful 9 Acres of undeveloped land in desirable Washington Street Neighborhood.  Take advantage of rising property values in this $750,000 + neighborhood.    All Engineering, surveys and due diligence are the responsibility of the buyer."|3|7/19/2021 4:56:00 PM|0|"N"|"G8000172"|"G46000"|300000|3/21/2025||"Essex"|"MA"|"A"|392040|9|"D"|"D,E,I"|"A"|"N"||"N"||"N"|"C"|"N"
"LD"|72678912|"BB911174"|"BB3119"|"SLD"|479900|"17"|"Murphy St"||117||"02571"|"N"|"Breath taking views & a sandy white beach. Looking to step out your door & have all of that while avoiding Cape Cod traffic?  Look no further! Come build your dream home on this almost half acre buildable lot located right on Swifts beach just an hour from Boston or Providence. Town sewer, water and gas all a possibility! Spend your days kayaking, walking, jogging, enjoying the marine wildlife, or simply relax with your favorite drink while the family swims and fish. Lot being sold as is buyer to do engineering. Home is to be built on stilts."|7|6/23/2020 3:28:00 PM|0|"N"|"TM338397"|"bb3119"|400000|10/25/2024||"Plymouth"|"MA"|"A"|20602|0.47|"C"|"C,X"|"A"|"Y"|"F"|"Y"|"A"||"B"|"N"
"LD"|72734450|"BB954705"|"AN1560"|"SLD"|600000|"0"|"Dale"||1|"008"|"02131"|"N"|"1.01 acres.  Roslindale zoning map 10-B has the following uses:  Elderly Housing, Group residence, Multi-family, Row-houses, 3-family, Townhouse, 2-family, Accessory Art, Accessory Parking, Accessory professional office.   It has 38' frontage on Dale Street and extends 234' for a long private road, then opens up to a 100' wide by 350' deep plot of land that is next to a park & the woods & abutting the MBTA commuter line.  See attached map."|3|9/29/2020 9:38:00 PM|0|"N"|"BB954705"|"AN1560"|530000|9/6/2024||"Suffolk"|"MA"|"A"|43995|1.01|"A"|"B,I,N"|"D"|"N"||"N"|||"B"|"N"
"LD"|72762635|"CN201199"|"AN6243"|"SLD"|600000|"45"|"Widow Rites Lane"||51|"33O"|"01776"|"N"|"LAND FOR SALE. Bring your own builder or use owner. Beautiful views from highly desirable Willis Hills Estate! TO BE BUILT Contemporary Colonial, or bring your own design. This lot includes the installed underground stormwater runoff system and driveway. Experienced luxury builder ready to build your dream home. Sudbury is a charming and scenic historic town with #3 Boston Magazine rated high school in MA, located approximately 20 miles west of Boston. Come Build Your Dream Home in Sudbury, small town feel yet only 20 miles to Boston. Planning Board approval and BOH approval for septic. Form A READY TO BUILD!  $3,000 Buyer's Agent Bonus paid at closing. OWNER WANTS OFFERS !"|19|10/6/2024 2:50:00 PM|0|"N"|"H1111111"|"H11111"|600000|5/20/2025|"Willis Hills Estates"|"Middlesex"|"MA"|"A"|57717|1.32|"A,C,E,G"|"F,H,I,W,X"|"A"|"N"||"N"||"N"|"C"|"N"
"LD"|72772492|"M9500003"|"M95313"|"SLD"|142797|"550"|"Main St"||839|"849"|"01151"|"N"|"Large corner parcel at the Indian Orchard / Ludlow Bridge  !  Many potential business uses !"|18|1/9/2021 10:17:00 AM|0|"N"|"cn233204"|"an0808"|140000|2/27/2025||"Hampden"|"MA"|"C"|29512|0.68|"A,C,E,I,L,M"|"D,J,P,Q,X"|"K"|"Y"|"D"|"Y"|"N"||"E"|"N"
