PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|NEIGHBORHOOD|MF_TYPE|NO_UNITS|NO_FLOORS|TOTAL_RMS|GARAGE_SPACES|PARKING_SPACES|LOT_SIZE|ACRE|SQUARE_FEET|COUNTY|STATE|YEAR_BUILT|ASSESSMENTS|TAXES|TAX_YEAR|TOTAL_BRS|TOTAL_FULL_BATHS|TOTAL_HALF_BATHS|BASEMENT_FEATURE|NO_BATHS|WATERFRONT_FLAG|WATERFRONT|WATERVIEW_FLAG|WATERVIEW_FEATURES|BASEMENT|ADULT_COMMUNITY|SQUARE_FEET_INCL_BASE|SQUARE_FEET_DISCLOSURES|ELECTRIC_FEATURE|ROAD_TYPE|SHORT_SALE_LENDER_APP_REQD|AboveGradeFinishedArea|BelowGradeFinishedArea|TITLE5
"MF"|73094948|"TM343886"|"AN2383"|"ACT"|3000000|"493-495"|"E 7Th St"||1|"005"|"02127"|"N"|"Rarely available, fully occupied, semi-attached, turnkey six-family with three sides of exposure!  This spacious multi-family offers 4 one bedroom, one bathroom units occupying the second and third floors, as well as a first and garden level two bedroom, two bathroom duplex, and a three bedroom, two bathroom first and garden level duplex.  Current rents are well below market value and easy to increase with little to no capital improvements, making $200,000+ gross rent per year achievable. Set in an ideal South Boston location - only two blocks to the beach, four blocks to bustling E. Broadway where there is something for everyone - restaurants, coffee shops, bars and grocery store. Close to major bus lines and public transit - this is an investor's dream, attracting a steady stream of quality tenants in a red hot rental market.  Brand new back decks and 2nd means of egress!"|22|4/4/2023 4:41:00 PM|0|"N"||"E"|6|4|21|0|0|3484|0.08|5668|"Suffolk"|"MA"|1905|1943400|20872|"2023"|9|8|0|"A,E,F"|"8f;0h"|"N"||"Y"||"Y"||"Y"||"D"|"A"|"N"|3648|2020|
"MF"|73221025|"NB114816"|"NB4445"|"ACT"|9950000|"164"|"Marlborough St"||1|"101"|"02116"|"N"|"164 Marlborough St Boston, MA.   The Crowninshield House is a historic house designed by renowned Architect Henry Hobson Richardson.                                                                                                                              One of a kind building on a corner lot that was the original Algonquin Club.  It's a 4 story brick building, featuring a variety of trim in black brick, brownstone and decorative green and blue tiles.This is a One of a Kind property ready for conversion or brought back to its former glory as a single family home. Home was added to the National Register of Historic Places in 1972.   Currently zoned as a Dorm"|15|4/7/2024 7:22:00 AM|0|"N"||"Q"|5|4|15|0|0|2000|0.05|9504|"Suffolk"|"MA"|1899|2004200|42697.48|"2024"|8|8|0||"8f;0h"|"N"||||"Y"|"N"|"Y"||"B"||"N"|7200|2304|
"MF"|73283905|"CN214357"|"A95532"|"ACT"|9500000|"133-135"|"Charles Street"||1|"102"|"02114"|"N"|"Located in the iconic Beacon Hill neighborhood of Boston, 133-135 Charles Street presents an outstanding opportunity for an end-user, developer or investor. Available for the first time in several decades, this gracious historic and well-loved building boasts 7132 square feet of space. Consisting of an established retail store, a boutique salon space and three floor-through two bedroom apartments, including the second floor owner’s suite, with significantly upgraded features, outdoor space and direct elevator access. The building benefitted from a significant renovation when it was purchased by the current owners, and includes an extremely rare feature of two private off-street tandem parking spaces. Situated on the first block of Charles Street, the building benefits from excellent proximity to MGH, Public Transportation, the Esplanade, Boston Common and Public Garden, vibrant restaurants and boutique and all that this upscale city neighborhood has to offer."|42|9/3/2024 9:15:00 AM|0|"N"||"P"|5|5|27|0|2|1829|0.04|7132|"Suffolk"|"MA"|1899|2687500|48731.85|"2024"|6|7|1|"A,M"|"7f;1h"|"N"||"N"||"Y"||"N"|||"A"|"N"|7132||
"MF"|73284468|"BB807932"|"AN0120"|"ACT"|1798999|"8"|"Porter St"||1||"02130"|"N"|"Have your cake and eat it too! This is a great investment opportunity for anyone who wants to be in the heart of the city! Centrally located, this property offers updated units, in unit laundry, parking and great rental income to help you pay the mortgage. You dont want to miss out on an opportunity this great!"|5|9/9/2024 7:16:00 PM|0|"N"||"B"|3|3|15|0|4|2574|0.06|2997|"Suffolk"|"MA"|1905|894300|9748|"2024"|8|3|0|"A"|"3f;0h"|"N"||||"Y"||"N"|||"A"|"N"|2997||
"MF"|73299306|"TEAM0467"|"AN6489"|"ACT"|849000|"25"|"Crandall St"||1|"008"|"02131"|"N"|"Charming Two-Family Home in Roslindale – Prime Location and Corner Lot! Welcome to this inviting two-family home situated on a desirable corner lot in Boston’s vibrant Roslindale neighborhood! With off-street parking and an unbeatable location just moments from Roslindale Village, this property offers both convenience and charm, making it an ideal investment or owner-occupied opportunity. Each unit features three bedrooms and one full bathroom while boasting a generous floor plan with ample living space & great natural light complete with enclosed porches perfect for seasonal dining or get togethers. Stroll to an array of shops, restaurants, parks, and public transportation options, making it easy to enjoy everything this charming community has to offer. With its prime location, ample space, and corner lot advantages, this two-family home is must-see! Schedule your showing today and discover the possibilities this property holds! Group showings will begin on Sunday."|32|10/7/2024 10:30:00 AM|0|"N"||"G"|2|2|10|0|3|5000|0.11|2308|"Suffolk"|"MA"|1955|586000|6387|"2024"|6|2|0|"A"|"2f;0h"|"N"||||"Y"||"N"|||"A"|"N"|2308||
"MF"|73300418|"TEAM0178"|"M95354"|"ACT"|2175000|"66"|"Mozart Street"||1|"007"|"02130"|"N"|"Investors, your opportunity to buy a BIG BUILDING that is producing BIG INCOME! Located in Central JP, close to shopping, restaurants and the Orange Line T, this 2012 new renovation 3 family boasts 12 BEDROOMS, 4 FULL BATHS and 3 HALF BATHS, along with parking and a rear yard for the tenants enjoyment. Each unit has new systems, central HVAC with air conditioning, tile baths, open floorplan kitchen's with stainless appliances and granite counters, crown molding, in unit laundry and the list goes on and on. All units are on fixed term leases to 8/31/2025 with 2 out of 3 units already rented for the 2025-2026 rental season at increased rents! Turn key offering. Nothing to do but collect rents. Perfect for 1031 exchange. Call today for a private showing. Pro-Forma attached."|7|10/9/2024 2:39:00 PM|0|"N"||"B"|3|4|18|0|1|3392|0.08|4267|"Suffolk"|"MA"|1905|1757200|19334.12|"2025"|12|4|3|"A"|"4f;3h"|"N"||"N"||"Y"||"N"|"Gross area per public record is 6,294."||"A"|"N"|4267||
"MF"|73309673|"BB802922"|"BB3336"|"ACT"|3499000|"378-380"|"Neponset Ave"||1|"002"|"02122"|"U"|"NEPONSET CIRCLE DEVELOPMENT OPPORTUNITY! THIS OFFERING IS FOR TWO COMBINED LOTS, PRESENTING OVER 21,000 SF OF EXCELLENT DEVELOPMENT POTENTIAL. BOTH THE 8 ROOM SINGLE FAMILY AND THE THREE ROW-HOMES ZONED AS A 3 FAMILY, OFFER STAINLESS/GRANITE KITCHEN, HARDWOOD FLOORS, MANY ADDITIONAL UPDATES AND ARE FULLY LEASED. THIS PACKAGE OFFERS TWO SEPARATE PARCELS OF LAND AND INCLUDES 10 PARKING SPOTS. CENTRALLY LOCATED IN THRIVING NEPONSET CIRCLE! SITUATED DIRECTLY ACROSS FROM DORCHESTER’S BELOVED DORSET HALL, MUD HOUSE, LAZY BEAR CREAMERY, AND MORE. CONVENIENTLY LOCATED ALONG THE BUS ROUTE AND CLOSE TO ALL MAJOR HIGHWAYS."|33|11/5/2024 12:07:00 PM|0|"N"||"C"|4|7|24|0|8|21480|0.49|4732|"Suffolk"|"MA"|1905|999|999|"2024"|11|4|1||"4f;1h"|"N"||||"Y"||"N"||||"U"|4732||
"MF"|73319759|"TEAM0178"|"M95354"|"ACT"|3068000|"285"|"Lamartine Street"||1|"007"|"02130"|"N"|"SELLER WILL GUARANTEE RENTS AT $6,500/MONTH PER UNIT TILL 8/31/25!  Beautifully designed and built, each unit features 4 bedrooms/2 bathrooms, private outdoor space + parking. Enter into huge open floorplan living areas w/bay windows, plenty of room for living + dining furniture, access to side porches + beautiful kitchens w/shaker cabinets, quartz counters + gas cooking. The bedrooms are all spacious, and the primary bedrooms have walk-in closets. There are two bathrooms in each unit, one with a tub + one with a shower, and all are clad in beautiful tile w/high quality fixtures. Added perks include hardwood floors, crown moldings, in-unit laundry, 3 car parking and superior life safety protection w/sprinkler + fire alarm.  A+ location just a few short blocks from the Green Street Orange Line T!  PRO FORMA ATTACHED.  DO THE MATH, THIS ONE WORKS!"|20|2/11/2025 8:56:00 AM|0|"N"||"B"|3|4|18|0|3|6600|0.15|4747|"Suffolk"|"MA"|2023|822500|9044|"2025"|12|6|0|"B,G"|"6f;0h"|"N"||"N"||"Y"||"Y"|"Gross area per floorplans"||"A"|"N"|4256|491|
"MF"|73320164|"CN211128"|"AN7064"|"ACT"|2165000|"416R"|"Harvard St"||1|"002"|"02124"|"N"|"TROPHY Ground-Up New Construction in Dorchester! This massive 4-unit property, complete with a spacious parking lot, is a standout investment opportunity. Expertly designed and newly built, this turnkey building promises low-maintenance ownership. Each unit features a luxurious 3-bed, 2-bath layout with condo-quality finishes, showcasing impeccable craftsmanship. With rental potential up to $4,000 per unit, the property offers a projected gross income of $16,000/month or $192,000 annually. Highlights include gleaming hardwood floors, central air, open-concept layouts, spa-like bathrooms, chef-inspired kitchens, and generously sized bedrooms. Perfectly situated in Boston’s vibrant core, it’s close to public transit, shopping, dining, hospitals, and universities. A premier opportunity to own a brand-new, high-yield asset in a prime urban location! This is a great building and opportunity!"|39|12/16/2024 2:30:00 PM|0|"N"||"C"|4|4|24|0|6|6620|0.15|4710|"Suffolk"|"MA"|2018|1036900|11404.34|"2025"|12|8|0|"D"|"8f;0h"|"N"||"N"||"Y"||"N"||"H"|"A"|"N"|4710||
"MF"|73330268|"CN211696"|"AN6746"|"ACT"|1699900|"125"|"Buttonwood St"||1||"02125"|"N"|"Attention homeowners, developers & investors! Opportunity & location! Great 2 family home with additional in-law, in the highly sought after Polish Triangle, situated on huge 7,000 sq ft lot. Lot Dimensions 70' x 100' in a 2F-3000 zone, offering development potential for multi-unit projects potentially 2 triple-deckers or a compact six-family building. This well maintained home offers 3 bathrooms, hardwood floors, high ceilings, full basement, newer roof and furnaces and large deck.  Located steps from the South Boston line, it's a short walk to JFK or Andrew Station and South Bay Shopping Mall. Easy access to I93, Mass Pike, Down-town Boston and just a few blocks from Carson Beach, restaurants & area parks."|29|1/29/2025 11:00:00 AM|0|"N"||"A"|3|2|12|0|6|7000|0.16|1685|"Suffolk"|"MA"|1890|721500|7864|"2024"|4|3|0||"3f;0h"|"N"||"N"||"Y"||"N"||||"N"|1685||
