PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|SALE_AGENT|SALE_OFFICE|SALE_PRICE|SETTLED_DATE|NEIGHBORHOOD|COUNTY|STATE|STYLE|LOT_SIZE|ACRE|SQUARE_FEET|GARAGE_SPACES|GARAGE_PARKING|BASEMENT|NO_ROOMS|NO_BEDROOMS|NO_FULL_BATHS|NO_HALF_BATHS|MASTER_BATH|STATUS|LIV_LEVEL|LIV_DIMEN|LIV_DSCRP|DIN_LEVEL|DIN_DIMEN|DIN_DSCRP|FAM_LEVEL|FAM_DIMEN|FAM_DSCRP|KIT_LEVEL|KIT_DIMEN|KIT_DSCRP|MBR_LEVEL|MBR_DIMEN|MBR_DSCRP|BED2_LEVEL|BED2_DIMEN|BED2_DSCRP|BED3_LEVEL|BED3_DIMEN|BED3_DSCRP|BED4_LEVEL|BED4_DIMEN|BED4_DSCRP|BED5_LEVEL|BED5_DIMEN|BED5_DSCRP|BTH1_LEVEL|BTH1_DIMEN|BTH1_DSCRP|BTH2_LEVEL|BTH2_DIMEN|BTH2_DSCRP|BTH3_LEVEL|BTH3_DIMEN|BTH3_DSCRP|LAUNDRY_LEVEL|LAUNDRY_DIMEN|LAUNDRY_DSCRP|OTH1_ROOM_NAME|OTH1_LEVEL|OTH1_DIMEN|OTH1_DSCRP|OTH2_ROOM_NAME|OTH2_LEVEL|OTH2_DIMEN|OTH2_DSCRP|OTH3_ROOM_NAME|OTH3_LEVEL|OTH3_DIMEN|OTH3_DSCRP|OTH4_ROOM_NAME|OTH4_LEVEL|OTH4_DIMEN|OTH4_DSCRP|OTH5_ROOM_NAME|OTH5_LEVEL|OTH5_DIMEN|OTH5_DSCRP|OTH6_ROOM_NAME|OTH6_LEVEL|OTH6_DIMEN|OTH6_DSCRP|COLOR|EXTERIOR_FEATURES|INTERIOR_FEATURES|LOT_DESCRIPTION|ROAD_TYPE|HEAT_ZONES|HEATING|COOLING_ZONES|COOLING|ELECTRIC_FEATURE|WATER|SEWER|APPLIANCES|WATERFRONT_FLAG|WATERFRONT|WATERVIEW_FLAG|WATERVIEW_FEATURES|ADULT_COMMUNITY|SQUARE_FEET_INCL_BASE|SQUARE_FEET_DISCLOSURES|HOME_OWN_ASSOCIATION|SHORT_SALE_LENDER_APP_REQD|PARKING_SPACES|PARKING_FEATURE|TOTAL_PARKING|NO_BATHS|AboveGradeFinishedArea|BelowGradeFinishedArea
"MH"|73153011|"C3445944"|"NB5013"|"SLD"|79900|"98"|"newbury street"|"39A"|320||"01923"|"N"|"STOP PAYING RENT   BE SMART  ..   GREAT YOUNG ONE BEDROOM UNIT IN A VERY DESIRABLE  PARK IN  MOVE IN CONDITION.      2 CAR PARKING.  LOW PARK RENT OF 410 A MONTH INCLUDES RE TAXES, WATER AND SEWER, RUBBUSH REMOVAL AND , SNOW PLOWING.   NO DOGS ALLOWED.  SOLD AS IS    WILL NOT LAST.     1989 SHAMROCK   42X12 SERIAL NUMBER 4437."|10|8/28/2023 9:31:00 AM|0|"N"|"C2506696"|"Nb5013"|70000|9/4/2024||"Essex"|"MA"|"A"|0|0|500|0||"N"|3|1|1|0||"SLD"|"1"|"12X14"||||||||"1"|"12X11"||"1"|"12X10"||||||||||||||"1"|||||||||||||||||||||||||||||||||||||||"K"|||"B,M"||"H"|"D"|"A"|"A"|"A,I"|"N"||"N"|||"N"|||"N"|2|"A"|2|"1f;0h"|500|
"MH"|73163239|"TM314032"|"AN5657"|"SLD"|429900|"121"|"East Washington Street"|"Lot 20"|68||"02760"|"N"|"55+ ADULT COMMUNITY - Phase Two MODEL 1. Great floor plan with chef's kitchen that is fully applianced with large center island with lots of storage and overhand for stools.  Two bedroom, and two full baths.  Living room is open to foyer and kitchen.  Fabulous walk-in pantry kitchen.  Utility room for washer and dryer.  Central air and gas heat and cooking.   Attached one car garage with direct entry.   This home has been ordered and wonderful color selections have been made.  Occupancy possible in June of 2024,  ."|1|9/25/2023 3:03:00 PM|0|"N"|"TM314032"|"AN5657"|430800|8/23/2024|"55+ Community  -  Enclave at Westcott Estates"|"Bristol"|"MA"|"B"|0|0|1600|1|"A,E,G"|"N"|6|2|2|0|"Y"|"SLD"|"1"||"G,1,27,44,64,67"|||||||"1"||"1,O,T,33,5,26,50,51,53,60,64,67"|"1"||"A,G,H,I,M,36,67"|"1"||"V,M,67,71"||||||||||"1"||"A,14,19,H,7,33,67"|"1"||"A,21,7,33,67"||||"1"||"39,41,57,67"|"OFC"|"1"||"V,1,7,67"|||||||||||||||||||||"Taupe"|"A,9,M,S,T,U,V"|"D,V"|"C,N,S"|"B,C,F"|1|"A,B,N"|1|"A"|"D,H"|"A"|"A"|"A,C,F,H,I,Y"|"N"||"N"||"Y"|"N"|"These hones are on slab.  Crawl space for easy access with door opening.  closes on Bill of Sal"|"Y"|"N"|2|"A,N"|3|"2f;0h"|1600|0
"MH"|73163242|"TM314032"|"AN5657"|"SLD"|429900|"121"|"East Washington, Phase 2"|"Lot 22"|68||"02760"|"N"|"55+ ADULT COMMUNITY - Phase Two MODEL 1. Great floor plan with chef's kitchen that is fully applianced with large center island with lots of storage and overhand for stools.  Two bedroom, and two full baths.  Living room is open to foyer and kitchen.  Fabulous walk-in pantry kitchen.  Utility room for washer and dryer.  Central air and gas heat and cooking. Computer area and one car attached  garage with direct entry..   A must see to be appreciated !   Home has been ordered with great color selections.  Occupancy planned for June of 2024.  Reservations are being taken for lots 20. 22. and 24.  Don't miss out on this wonderful floor plan for easy every day living."|1|9/25/2023 3:05:00 PM|0|"N"|"TM314032"|"AN5657"|429900|9/30/2024|"55+ Community  -  Enclave at Westcott Estates"|"Bristol"|"MA"|"B"|0|0|1600|1|"A,E,G"|"N"|6|2|2|0|"Y"|"SLD"|"1"||"G,1,27,44,64,67"|||||||"1"||"1,O,T,33,5,26,50,51,53,60,64,67"|"1"||"A,G,H,I,M,36,67"|"1"||"V,M,67,71"||||||||||"1"||"A,14,19,H,7,33,67"|"1"||"A,21,7,33,67"||||"1"||"39,41,57,67"|"OFC"|"1"||"V,1,7,67"|||||||||||||||||||||"Driftwood"|"A,9,M,S,T,U,V"|"D,V"|"C,N,S"|"B,C,F"|1|"A,B,N"|1|"A"|"D,H"|"A"|"A"|"A,C,F,H,I,Y"|"N"||"N"||"Y"|"N"|"Home is on slab.  Easy access to crawl space with door opening.  Closes with Bill Of Sale."|"Y"|"N"|2|"A,N"|3|"2f;0h"|1600|0
"MH"|73163244|"TM314032"|"AN5657"|"SLD"|429900|"121"|"East Washington, Phase2"|"Lot 24"|68||"02760"|"N"|"55+ ADULT COMMUNITY - Phase2. Model One offers a Beautiful Open Floor Plan.  All rooms are large and bright. This kitchen is fit for a chef and is fully applianced, with a large center island with a breakfast bar and loads of cabinets. Wonderful dining area with slider to the deck. Computer room with countertop and cabinets.  Oversized bedroom with stunning master bath. Separate utility room with washer and dryer hook-up. Attached one car garage with direct entry.  This home has been ordered with beautiful color selections.  Occupancy June of 2024.  Reservations being taken now.  Do not miss out on this wonderful Farmer's Porch entry home."|1|2/7/2024 3:08:00 PM|0|"N"|"TM314032"|"AN5657"|429900|10/4/2024|"55+ Community  -  Enclave at Westcott Estates"|"Bristol"|"MA"|"B"|0|0|1600|1|"A,E,G"|"N"|6|2|2|0|"Y"|"SLD"|"1"||"G,1,27,44,64,67"|||||||"1"||"1,O,T,33,5,26,50,51,53,60,64,67"|"1"||"A,G,H,I,M,36,67"|"1"||"V,M,67,71"||||||||||"1"||"A,14,19,H,7,33,67"|"1"||"A,21,7,33,67"||||"1"||"39,41,57,67"|"DEN"|"1"||"V,1,7,67"|||||||||||||||||||||"Clay"|"A,C,9,M,S,T,U,V"|"D,V"|"C,N,S"|"B,C,F"|1|"A,B,N"|1|"A"|"D,H"|"A"|"A"|"A,C,F,H,I,Y"|"N"||"N"||"Y"|"N"|"HOme is on slab.  Easy access to crawl space with door opening.  Closes on Bill Of Sale."|"Y"|"N"|2|"A,N"|3|"2f;0h"|1600|0
"MH"|73163246|"TM314032"|"AN5657"|"SLD"|429900|"121"|"East Washington, Phase 2"|"Lot 25"|68||"02760"|"N"|"55+ ADULT COMMUNITY - Phase Two MODEL 1. Great floor plan with chef's kitchen that is fully applianced with large center island with lots of storage and overhand for stools.  Two bedroom, and two full baths.  Living room is open to foyer and kitchen.  Fabulous walk-in pantry kitchen.  Utility room for washer and dryer.  Central air and gas heat and cooking.   Attached garage with direct entry.   A must see to be appreciated !"|1|9/25/2023 3:07:00 PM|0|"N"|"CN240180"|"AN6216"|429900|8/7/2024|"55+ Community  -  Enclave at Westcott Estates"|"Bristol"|"MA"|"B"|0|0|1600|1|"A,E,G"|"N"|6|2|2|0|"Y"|"SLD"|"1"||"G,1,27,44,64,67"|||||||"1"||"1,O,T,33,5,26,50,51,53,60,64,67"|"1"||"A,G,H,I,M,36,67"|"1"||"V,M,67,71"||||||||||"1"||"A,14,19,H,7,33,67"|"1"||"A,21,7,33,67"||||"1"||"39,41,57,67"|"OFC"|"1"||"V,1,7,67"|||||||||||||||||||||"Taupe"|"A,C,8,M,S,T,U,V"|"D,V"|"C,N,S"|"B,C,F"|1|"A,B,N"|1|"A"|"D,H"|"A"|"A"|"A,C,F,H,I,Y"|"N"||"N"||"Y"|"N"||"Y"|"N"|2|"A,N"|3|"2f;0h"|1600|0
"MH"|73188751|"CN249396"|"AN4281"|"SLD"|139000|"26"|"Claudia Street"||117||"02538"|"N"|"VERY MOTIVATED SELLER! Huge Price reduction. Do not miss the opportunity to own this beautiful mobile home in Wareham Massachusetts located at Mogan's Mobile Home Park. This home has fully updated Interior and Exterior features! Includes a gorgeous deck and large yard that is great for entertaining. A perfect location for ease of pet ownership as well. $621 monthly park fee takes care of water and sewer, weekly trash removal, real estate taxes, snow plowing of main roads, and road maintenance. Located near Dick's Pond, walking distance to restaurants and shopping and a short drive to Onset Beach. Don't miss this beautifully modernized and completely transformed Mobile Home in a quiet and peaceful 55+ community."|17|10/8/2024 7:26:00 PM|0|"N"|"CN249396"|"AN4281"|139000|1/17/2025|"Mogan's Mobile Home Park"|"Plymouth"|"MA"|"A"|5000|0.11|800|0||"N"|6|2|1|0||"SLD"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"White/Grey"|"A,C"||"C"|||"B"||"B"|"A"|"A"|"A"|"C,F,I,K,L"|"N"||"N"||"Y"|"N"||"Y"|"N"|2|"A"|2|"1f;0h"|800|
"MH"|73189010|"C3445944"|"NB5013"|"SLD"|249900|"103"|"NEWBURY"|"16"|320||"01923"|"N"|"HURRY ONLY A FEW UNITS LEFT IN PHASE ONE.     PRECONSTRUCTION WELCOME TO SHADY OAKS BRAND NEW MANUFACTURED  HOME COMMUNITY AFFORDABLE YET UPSCALE LIVING , EACH HOME  HAS AMPLE SQUARE FOOTAGE WITH 2 BEDROOMS AND 2 BATHS.  .OPEN CONCEPT PERFECT FOR ENTERTAINING...HIGH QUALITY FINISHES  FROM TOP TIER APPLIANCES TO ELEGANT FINISHES..   SHADY OAKS IN  DANVERS MA OFFERS A SERENE WOODING SETTING WHILE BEING CONVENIENT TO SCHOOLS SHOPPING DINING AND MAJOR TRANSPORTATION ROUTES....THIS IS AN EXCEPTIONAL OPPORTUNITY TO LIVE IN THIS COMMUNITY AT AN UNBELIEVABLE PRICE. LOW PARK RENT OF 450 A MONTHS INCLUDES TAXES, WATER AND SEWER RUBBISH REMOVAL AND SNOW PLOWING...ACT NOW BEFORE PRICE INCREASE.. STILL TIME TO CHOOSE COLORS.  .EXPECTED OCCUPANCY DATE JUNE 2024... TITAN ASCEND 60X14"|14|12/27/2023 10:46:00 AM|0|"N"|"c3445944"|"nb5013"|250000|8/7/2024||"Essex"|"MA"|"A"|0|0|810|0||"N"|5|2|2|0||"SLD"|"1"|"14.6X12,4"||"1"|"11.1X6.5"||"1"|||"1"|"10X11"||"1"|"11,OX9.8"||"1"|"8.0X10.0"|||||||||||"1"|||"1"|||||||||||||||||||||||||||||||||||"D"|"C"|"A"||"B,P"||"H"|"D"|"A"|"A"|"A,C,I"|"N"||"N"|||"N"|||"N"|2|"A"|2|"2f;0h"|810|
"MH"|73195303|"A9501813"|"A98034"|"SLD"|340000|"12"|"Short Street"||171||"02767"|"N"|"**OPEN HOUSE SATURDAY, SEPT. 7th from 12 - 2 pm. ** Envision yourself in this Spacious 3 bedroom Ranch style home located at Pine Hill Estates, a 55+ Community, in Raynham.  The open floor plan of this grand home offers a large living room, a charming den with French doors, a dining area, a large kitchen with ample storage and a two-tiered center island, a family room which could be used as a formal dining room if you wish, a laundry/utility room, a three-season sun room with a deck, as well as  an outdoor shed.  And did we mention the closets... there's barely a need to downsize at all! The main bedroom offers a private bath and the additional bedrooms could be used for guests or home-office or perhaps a crafting room for the hobbyist. Looking for a quick Close...this could be it!"|32|1/21/2024 3:21:00 PM|0|"N"|"BB801107"|"AN4893"|325000|10/11/2024|"Pine Hill Estates"|"Bristol"|"MA"|"B"|0|0|2026|0||"N"|8|3|2|0|"Y"|"SLD"||"19X12"|"G,72,V,2"|"1"|"12X12"|"72,2,63"|"1"|"17X12"|"28,72,2"|"1"|"16X12"|"72,2,5"|"1"|"15X15"|"13,72,I,2"|"1"|"11X12"|"72,I,2"|"1"|"12X9"|"72,I,2"|||||||"1"|"9X10"|"13,72,H,2,17"|"1"|"9X10"|"A,24,72,2"||||"1"|"7X5"|"2,41"|"DEN"|"1"|"12X11"|"V,X,2"|"SUN"|"1"|"10X20"|"2,35,41"|||||||||||||||||"Grey"|"B,C,M,O"||"S"|"B,C,F"|1|"B,P"|1|"A"|"D"|"A"|"F"|"A,C,F,K,L,U"|"N"||"N"||"Y"|"N"|"All measurements and living area are approximate.   Buyer to verify."|"Y"|"N"|2|"A,L,N"|2|"2f;0h"|2026|
"MH"|73199096|"BB801107"|"AN4893"|"SLD"|290000|"50"|"Highland Street"|"88"|173||"02780"|"N"|"Welcome to leisurewoods, Taunton’s premier 55 and better living!  This beautiful and well maintained home has much to offer for the next owners!  This unit has two generous bedrooms, with two full baths, one of which is located off the primary bedroom.  There is a large and generous sized living room and dining room, perfect for family gathering and entertaining.  The kitchen as well is extremely generous in size featuring a kitchen island and an additional wall of counters and cabinetry, perfect for storage.  The unit has many newer improvements during this ownership such as new windows, shed and CA, prior owners replaced the roof and carport making this unit even more so attractive!  The first floor living areas are adorned with rich hardwood flooring, and the baths with ceramic tile.  The development offers a community club house and is located within minutes to Rt 44 AKA Winthrop Street, shopping, banking and so much more!"|32|4/18/2024 6:24:00 PM|0|"N"|"CN253320"|"BB4624"|290000|8/2/2024|"Leisurewoods"|"Bristol"|"MA"|"B"|0|0|1456|0|"D"|"N"|5|2|2|0|"Y"|"SLD"|"1"||"V,9,2"|"1"||"9,2"||||"1"||"K,O,2,5"|"1"||"A,I,M,2"|"1"||"V,M,2"||||||||||"1"||"A,24,E,L"|"1"||"13,E,L"||||"1"|||"SUN"|"1"||"2"|||||||||||||||||||||"White"|"B,12,9,O"||"B,S"|"B"|1|"B,N"|1|"A"|"F"|"A"|"A"|"A,C,I,K,L"|"N"||"N"||"Y"|"N"||"Y"|"N"|2|"A,L,N,R"|2|"2f;0h"|1456|
"MH"|73201614|"CN224443"|"AN5193"|"SLD"|219900|"181"|"Boston Post Road E"|"62"|405||"01752"|"N"|"Wow! The one that you've been waiting for has arrived! This beautiful mobile home in vibrant Marlborough checks all boxes!  It has been meticulously remodeled and is now ready for you to move in!  This spacious and yet affordable unit features quartz countertops, stainless steel appliances, two full bathrooms and three bedrooms! If you're impressed and want to check it out ,schedule your showing now as this unique unit will not last!"|24|2/15/2024 2:17:00 PM|0|"N"|"CN220629"|"AN3993"|219900|10/7/2024||"Middlesex"|"MA"|"A"|0|0|1200|0||"N"|7|3|2|0||"SLD"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"beige"|||"K"|"B"||"B"||"H"|"A"|"A"|"A"|"A,C,F,I"|"N"||"N"|||"N"||"Y"|"N"|2|"A"|2|"2f;0h"|1200|
